Transaction Name,Flow Name,Packet List Name,Transaction Duration (seconds),Network Time (seconds) ,Throughput Up (KB),Throughput Down (KB),Number of Requests,Errors,Analysis Score (Desktop) ,Analysis Score (Mobile) ,Transaction HTML Report Name
vuser_init_Transaction,,,0,1,0,0,0,0,0,0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report0.html
Action_Transaction,,,2,2,2,0,0,7,3,4,2,0,100,0,100,0,report1.html
getCountries,,,1,8,0,4,0,3,2,8,1,0,100,0,100,0,report2.html
getGMTbyCountry,,,0,3,0,2,0,4,0,6,1,0,100,0,100,0,report3.html
vuser_end_Transaction,,,0,0,0,0,0,0,0,0,0,0,N\A (no HTTP traffic),N\A (no HTTP traffic),report4.html
